"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","p_adj","term_name","effective_domain_size","source_order","parents"
"hubs",FALSE,0.869920511106159,2,20,2,0.1,1,"GO:0030323","GO:BP",0.869920511106159,"respiratory tube development",42,6735,"GO:0035295,GO:0048513"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0071295","GO:BP",0.869920511106159,"cellular response to vitamin",42,16322,"GO:0031670,GO:0033273"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0031929","GO:BP",0.869920511106159,"TOR signaling",42,7248,"GO:0035556"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0032006","GO:BP",0.869920511106159,"regulation of TOR signaling",42,7273,"GO:0031929,GO:1902531"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0032088","GO:BP",0.869920511106159,"negative regulation of NF-kappaB transcription factor activity",42,7308,"GO:0043433"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0070640","GO:BP",0.869920511106159,"vitamin D3 metabolic process",42,15999,"GO:0042359,GO:1902652"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0032095","GO:BP",0.869920511106159,"regulation of response to food",42,7312,"GO:0032094,GO:0032107"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0032096","GO:BP",0.869920511106159,"negative regulation of response to food",42,7313,"GO:0032094,GO:0032095,GO:0032108"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0032098","GO:BP",0.869920511106159,"regulation of appetite",42,7315,"GO:0031667,GO:0065008"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0032099","GO:BP",0.869920511106159,"negative regulation of appetite",42,7316,"GO:0032096,GO:0032098"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0070633","GO:BP",0.869920511106159,"transepithelial transport",42,15994,"GO:0006810"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0032107","GO:BP",0.869920511106159,"regulation of response to nutrient levels",42,7321,"GO:0031667,GO:0048583"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0032108","GO:BP",0.869920511106159,"negative regulation of response to nutrient levels",42,7322,"GO:0031667,GO:0032107,GO:0048585"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0070374","GO:BP",0.869920511106159,"positive regulation of ERK1 and ERK2 cascade",42,15861,"GO:0043410,GO:0070371,GO:0070372"
"hubs",FALSE,0.869920511106159,2,20,2,0.1,1,"GO:0070372","GO:BP",0.869920511106159,"regulation of ERK1 and ERK2 cascade",42,15859,"GO:0043408,GO:0070371"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0032400","GO:BP",0.869920511106159,"melanosome localization",42,7491,"GO:0051875"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0032401","GO:BP",0.869920511106159,"establishment of melanosome localization",42,7492,"GO:0032400,GO:0051905"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0032402","GO:BP",0.869920511106159,"melanosome transport",42,7493,"GO:0032400,GO:0032401,GO:0051904"
"hubs",FALSE,0.869920511106159,3,20,3,0.15,1,"GO:0070371","GO:BP",0.869920511106159,"ERK1 and ERK2 cascade",42,15858,"GO:0000165"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0031670","GO:BP",0.869920511106159,"cellular response to nutrient",42,7233,"GO:0007584,GO:0031669,GO:0070887"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0031669","GO:BP",0.869920511106159,"cellular response to nutrient levels",42,7232,"GO:0031667,GO:0051716"
"hubs",FALSE,0.869920511106159,6,20,4,0.2,0.666666666666667,"GO:0031667","GO:BP",0.869920511106159,"response to nutrient levels",42,7231,"GO:0050896"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0031589","GO:BP",0.869920511106159,"cell-substrate adhesion",42,7193,"GO:0007155"
